7.466634266182438751e+02,2.872841100950304281e+02,7.619243510140518083e+02,1.009881022114100233e+02
9.171652390239160013e+01,3.978973647759298728e+02,7.495782194320236158e+01,2.319774827545807057e+02
4.293780381914532427e+02,6.918957522172677272e+02,4.300845869713533602e+02,5.434411209350078025e+02
6.331392968141628899e+02,1.215853274389949092e+03,6.222023451013366184e+02,1.029557266506329142e+03
1.062708995182997569e+02,1.148903146556773208e+03,1.244426990372890032e+02,9.684288889195163392e+02
6.185849211982549605e+02,3.163928613268458321e+02,6.280240953476998129e+02,7.479022610277615968e+01
7.425127316330235772e+01,2.523536086168514885e+02,3.711644534184210897e+01,1.075097339278136133e+01
5.225260421332632177e+02,1.244962025621764951e+03,5.144999655436187140e+02,9.975376401513317433e+02
4.805339705466803935e+01,1.183833648034952148e+03,7.786869706638412936e+01,9.509636381804270968e+02
2.197950293223807421e+02,6.889848770940861868e+02,2.175907029790992055e+02,4.910453687177396205e+02
